Order.ID,Order.Date,Sub.Category
CA-2012-124891,2012-07-31,Accessories
IN-2013-77878,2013-02-05,Chairs
IN-2013-71249,2013-10-17,Phones
ES-2013-1579342,2013-01-28,Phones
SG-2013-4320,2013-11-05,Copiers
IN-2013-42360,2013-06-28,Phones
IN-2011-81826,2011-11-07,Chairs
IN-2012-86369,2012-04-14,Tables
CA-2014-135909,2014-10-14,Binders
CA-2012-116638,2012-01-28,Tables
CA-2011-102988,2011-04-05,Supplies
ID-2012-28402,2012-04-19,Tables
SA-2011-1830,2011-12-27,Phones
MX-2012-130015,2012-11-13,Chairs
IN-2013-73951,2013-06-06,Appliances
ES-2014-5099955,2014-07-31,Appliances
CA-2014-143567,2014-11-03,Accessories
ES-2014-1651774,2014-09-08,Appliances
IN-2014-11763,2014-01-31,Copiers
TZ-2014-8190,2014-12-05,Appliances
PL-2012-7820,2012-08-08,Tables
CA-2011-154627,2011-10-29,Phones
IN-2011-44803,2011-05-02,Chairs
ES-2013-2860574,2013-02-27,Appliances
US-2014-133193,2014-07-31,Phones
MX-2014-165309,2014-09-05,Tables
IN-2011-10286,2011-12-17,Tables
ES-2011-4699764,2011-03-14,Appliances
CA-2013-159016,2013-03-11,Phones
IN-2012-44810,2012-02-25,Chairs
US-2011-128776,2011-12-28,Phones
ES-2012-5870268,2012-07-17,Machines
CA-2012-139731,2012-10-15,Chairs
IN-2011-28087,2011-11-03,Appliances
CA-2011-168494,2011-12-12,Tables
CG-2011-8610,2011-09-14,Phones
CA-2011-160766,2011-09-14,Machines
US-2014-168116,2014-11-05,Machines
ES-2014-2637201,2014-01-14,Copiers
IN-2011-61302,2011-01-10,Phones
ID-2013-63976,2013-08-22,Phones
IN-2014-37320,2014-11-11,Phones
IN-2014-76016,2014-09-26,Bookcases
ES-2012-5877219,2012-12-13,Phones
IT-2011-3183678,2011-09-23,Appliances
CA-2011-116904,2011-09-23,Binders
IT-2013-3085011,2013-03-08,Chairs
IN-2014-50473,2014-08-28,Chairs
IN-2014-35983,2014-05-01,Machines
MX-2014-126984,2014-12-18,Chairs
